case,n_mesh,n_shared_faces,worst_class,max_ratio,class_counts,msd,n_overlap_pairs,notes
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_1m_GEOM_Predicted_20cm.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_1m_GEOM_Predicted_2p5cm.fds,128,304,uniform,1,uniform=304,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_1m_GEOM_Predicted_5cm.fds,128,304,uniform,1,uniform=304,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_1m_GEOM_Prescribed_10cm.fds,16,28,uniform,1,uniform=28,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_1m_GEOM_Prescribed_20cm.fds,2,1,uniform,1,uniform=1,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_1m_GEOM_Prescribed_2p5cm.fds,128,304,uniform,1,uniform=304,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_1m_GEOM_Prescribed_5cm.fds,128,304,uniform,1,uniform=304,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_30cm_1cm_DEVC.fds,0,0,no_mesh,,,,,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_GEOM_Predicted_1cm.fds,96,224,uniform,1,uniform=224,0.0005,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_GEOM_Predicted_2cm.fds,8,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_GEOM_Predicted_4cm.fds,1,0,single_mesh,,,,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_GEOM_Predicted_p5cm.fds,96,224,uniform,1,uniform=224,0.00025,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_GEOM_Prescribed_1cm.fds,96,224,uniform,1,uniform=224,0.0005,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_GEOM_Prescribed_2cm.fds,8,12,uniform,1,uniform=12,0.001,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_GEOM_Prescribed_4cm.fds,1,0,single_mesh,,,,0,
Validation/NIST_Pool_Fires/FDS_GEOM_Input_Files/NIST_Methanol_GEOM_Prescribed_p5cm.fds,96,224,uniform,1,uniform=224,0.00025,0,
