file,line,end_line,routine,phase,kind,operation,direction,range_source,loop_vars,fields_read,fields_written,accumulators,weights,notes
ccib.f90,15907,15934,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDZN; OM%H; M2%DX; M2%DY; M2%CCVAR; M2%ZC; OM%FVZ; OM%W,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER",
ccib.f90,15936,15963,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDZN; OM%H; M2%DX; M2%DY; M2%CCVAR; M2%ZC; OM%FVZ; OM%W,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER",
ccib.f90,15968,15997,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDXN; OM%HS; M2%DY; M2%DZ; M2%CCVAR; M2%XC; OM%FVX; OM%U; OM%US,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER",
ccib.f90,15999,16028,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDXN; OM%HS; M2%DY; M2%DZ; M2%CCVAR; M2%XC; OM%FVX; OM%U; OM%US,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER",
ccib.f90,16030,16059,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDYN; OM%HS; M2%DX; M2%DZ; M2%CCVAR; M2%YC; OM%FVY; OM%V; OM%VS,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER",
ccib.f90,16061,16090,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDYN; OM%HS; M2%DX; M2%DZ; M2%CCVAR; M2%YC; OM%FVY; OM%V; OM%VS,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER",
ccib.f90,16092,16121,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDZN; OM%HS; M2%DX; M2%DY; M2%CCVAR; M2%ZC; OM%FVZ; OM%W; OM%WS,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER",
ccib.f90,16123,16152,CC_COMPUTE_VELOCITY_ERROR,runtime,range_loop,average,both_runtime,"EWC (via IIO1, line 15781); EWC (via IIO2, line 15784); EWC (via JJO1, line 15782); EWC (via JJO2, line 15785); EWC (via KKO1, line 15783); EWC (via KKO2, line 15786)","KKO,JJO,IIO",M2%CELL%SOLID; M2%CELL_INDEX; M2%FCVAR; M2%RDZN; OM%HS; M2%DX; M2%DY; M2%CCVAR; M2%ZC; OM%FVZ; OM%W; OM%WS,,"DA_OTHER,UN_NEW_OTHER","AREA,DA_OTHER", | post: 16156: UN_NEW_OTHER = UN_NEW_OTHER/DA_OTHER
ccib.f90,18018,18041,GET_CRTCFCC_INT_STENCILS,setup,range_loop,other,both_setup,EWC,"KKO,JJO,IIO",,,,,
ccib.f90,19867,19877,FILL_UNKZ_GUARDCELLS,setup,range_loop,area_or_count_sum,both_setup,EWC,"KKO,JJO,IIO",MESHES%CCVAR,,NICC_R,,
ccib.f90,19915,19933,FILL_UNKZ_GUARDCELLS,setup,range_loop,other,both_setup,EWC,"KKO,JJO,IIO",MESHES%FCVAR,,,,
ccib.f90,19956,19983,FILL_UNKZ_GUARDCELLS,setup,range_loop,area_or_count_sum,both_setup,EWC,"KKO,JJO,IIO",MESHES%FCVAR,,NICF_R,,
ccib.f90,20675,20724,GET_H_MATRIX_CC,runtime+setup,range_loop,other,both_runtime,EWC,"KKO,JJO,IIO",MESHES%CCVAR; OMESH%MUNKH; MESHES%DY; MESHES%DZ; MESHES%X; MESHES%XC; MESHES%DX; MESHES%Y; MESHES%YC; MESHES%Z; MESHES%ZC; MESHES%FCVAR,,,"AF,AREA,AREA_RATIO",
ccib.f90,20818,20867,GET_H_MATRIX_CC,runtime+setup,range_loop,other,both_runtime,EWC,"KKO,JJO,IIO",MESHES%CCVAR; OMESH%MUNKH; MESHES%DY; MESHES%DZ; MESHES%X; MESHES%XC; MESHES%DX; MESHES%Y; MESHES%YC; MESHES%Z; MESHES%ZC; MESHES%FCVAR,,,"AF,AREA,AREA_RATIO",
ccib.f90,20965,20978,GET_CC_MATRIXGRAPH_H,runtime+setup,range_loop,other,both_runtime,EWC,"KKO,JJO,IIO",OMESH%MUNKH,,,,
ccib.f90,21027,21043,GET_CC_MATRIXGRAPH_H,runtime+setup,range_loop,other,both_runtime,EWC,"KKO,JJO,IIO",OMESH%MUNKH,,,,
ccib.f90,22887,22887,COPY_CC_MUNKH_TO_UNKH,runtime+setup,pick_min_corner_inline,pick_min,both_runtime,,,OM%MUNKH,,,,"CUT_CELL(ICC)%UNKH(1) = OM%MUNKH(EWC%IIO_MIN,EWC%JJO_MIN,EWC%KKO_MIN)"
ccib.f90,22889,22889,COPY_CC_MUNKH_TO_UNKH,runtime+setup,pick_min_corner_inline,pick_min,both_runtime,,,OM%MUNKH,,,,"CCVAR(II,JJ,KK,CC_UNKH) = OM%MUNKH(EWC%IIO_MIN,EWC%JJO_MIN,EWC%KKO_MIN)"
ccib.f90,22895,22909,COPY_CC_MUNKH_TO_UNKH,runtime+setup,range_loop,scatter_or_copy,both_runtime,EWC,"KKO,JJO,IIO",OM%MUNKH,MESHES%CCVAR,,,
ccib.f90,22919,22925,COPY_CC_MUNKH_TO_UNKH,runtime+setup,range_loop,scatter_or_copy,both_runtime,EWC,"KKO,JJO,IIO",,OM%HS,,,
fire.f90,1909,1915,COMBUSTION_BC,runtime,range_loop,average,both_runtime,EWC,"KKO,JJO,IIO",OMESH%Q,,Q_OTHER,,"COMBUSTION_BC: Q ghost = arithmetic mean over range |  | post: 1917: Q(BC%II,BC%JJ,BC%KK) = Q_OTHER/REAL(N_INT_CELLS,EB)"
fire.f90,1916,1916,COMBUSTION_BC,runtime,count_normalisation,other,both_runtime,,,,,,,N_INT_CELLS = (EWC%IIO_MAX-EWC%IIO_MIN+1) * (EWC%JJO_MAX-EWC%JJO_MIN+1) * (EWC%KKO_MAX-EWC%KKO_MIN+1)
geom.f90,8981,8981,PROMOTE_REFINEMENT_FOOTPRINTS_FROM_BLOCKED_FINE,setup,count_normalisation,other,both_setup,,,,,,,IF ((EWC_COARSE%IIO_MAX-EWC_COARSE%IIO_MIN+1) *  (EWC_COARSE%JJO_MAX-EWC_COARSE%JJO_MIN+1) *  (EWC_COARSE%KKO_MAX-EWC_COARSE%KKO_MIN+1) <= 1
geom.f90,8988,8998,PROMOTE_REFINEMENT_FOOTPRINTS_FROM_BLOCKED_FINE,setup,range_loop,other,coarse_reads_fine,EWC_COARSE,"KKO_LOC,JJO_LOC,IIO_LOC",call:GET_FINE_CELL_FROM_COARSE_WALL,,,,only when range >1 (geom.f90:8981-8983 CYCLE if <=1): coarse wall reads fine cells
geom.f90,12415,12442,SET_GC_CUTCELLS_3D,setup,range_loop,average,both_setup,EWC,"KKO,JJO,IIO",MESHES%DY; MESHES%DZ; MESHES%DX; MESHES%FCVAR,,"AREA_NOM,N_CF,N_CRT",AREA," | post: 12450: IF(ABS(AREA_NM-AREA_NOM) > ADIFF_INFO_FACTOR*AREA_CRT) THEN || 12451: WRITE(LU_ERR,*) '_______________________________',NM,'___________',ICF,'__________________"
geom.f90,12514,12520,SET_GC_CUTCELLS_3D,setup,range_loop,other,both_setup,EWC,"KKO,JJO,IIO",MESHES%CCVAR,,,,
geom.f90,12549,12558,SET_GC_CUTCELLS_3D,setup,range_loop,other,both_setup,EWC,"KKO,JJO,IIO",MESHES%CCVAR,,,,
geom.f90,12565,12579,SET_GC_CUTCELLS_3D,setup,range_loop,area_or_count_sum,both_setup,EWC,"KKO,JJO,IIO",MESHES%CCVAR,,N_CF,,guard 12562: NOFC = EWC%NIC_MAX - EWC%NIC_MIN + 1
geom.f90,13068,13069,CC_GRID_TAG_RAYTRACE_SINGLE_COVER_WALL,setup,pick_min_corner,pick_min,both_setup,,,call:CC_GRID_TAG_BLOCK_CELL_PAIR,,,,IIO = EWC%IIO_MIN
geom.f90,13083,13084,CC_GRID_TAG_RAYTRACE_SINGLE_COVER_WALL,setup,pick_min_corner,pick_min,both_setup,,,,,,,IIO = EWC%IIO_MIN
geom.f90,13142,13190,CC_GRID_TAG_RAYTRACE_MULTI_COVER_WALL,setup,range_loop,other,both_setup,EWC,"KKO,JJO,IIO",call:CC_GRID_TAG_BLOCK_CELL_PAIR,,,,
geom.f90,13263,13263,CC_GRID_TAG_NONRAY_SINGLE_COVER_WALL,setup,pick_min_corner,pick_min,both_setup,,,M2%FCVAR,,,,IIOF=EWC%IIO_MIN
geom.f90,13311,13357,CC_GRID_TAG_NONRAY_MULTI_COVER_WALL,setup,range_loop,area_or_count_sum,both_setup,EWC,"KKO,JJO,IIO",M2%FCVAR; M2%CCVAR; call:CC_GRID_INSERT_SINGLE_CARTESIAN_CUTCELL,,"IOGC,JOGC,KOGC",,
