module,variable,decl_file,decl_line,kind,written_by,read_by_sample,blocks_pure_kernel,notes,fortran_type,dims,n_writers,n_runtime_writers,n_kernel_users,mesh_id_indexed
GLOBAL_CONSTANTS,PR_AIR,cons.f90,356,runtime_scalar,,HEAT_TRANSFER_COEFFICIENT(func.f90:3242); PROC_DEVC(read.f90:15471),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",REAL(EB),,0,0,2,
GLOBAL_CONSTANTS,PR_ONTH,cons.f90,354,runtime_scalar,READ_MISC(read.f90:1776),GAS_PHASE_OUTPUT(dump.f90:9177); HEAT_TRANSFER_COEFFICIENT(func.f90:3237),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",REAL(EB),,1,0,2,
GLOBAL_CONSTANTS,PR_T,cons.f90,361,runtime_scalar,READ_MISC(read.f90:1790),INITIALIZE_DIAGNOSTIC_FILE(dump.f90:3161),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",REAL(EB),,1,0,1,
GLOBAL_CONSTANTS,P_INF,cons.f90,337,runtime_scalar,,INIT_CUTCELL_DATA(ccib.f90:7740); DUMP_HRR(dump.f90:11851); INITIALIZE_DIAGNOSTIC_FILE(dump.f90:3120); INITIALIZE_HVAC(hvac.f90:2458); PROC_HVAC(hvac.f90:1001),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",REAL(EB),,0,0,10,
GLOBAL_CONSTANTS,QR_CLIP,cons.f90,516,runtime_scalar,READ_RADI(read.f90:10261),GAS_PHASE_OUTPUT(dump.f90:8941); GET_SMOKE3D_QQ(dump.f90:5140); RADIATION_FVM(radi.f90:4038),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",REAL(EB),,1,0,3,
GLOBAL_CONSTANTS,RADIATION,cons.f90,185,runtime_scalar,READ_MISC(read.f90:1990); READ_SURF(read.f90:8334); TGA_ANALYSIS(wall.f90:3751),CCCOMPUTE_RADIATION(ccib.f90:7137); DUMP_RESTART(dump.f90:3921); INITIALIZE_DIAGNOSTIC_FILE(dump.f90:3805); READ_RESTART(dump.f90:4110); INITIALIZE_BOUNDARY_ONE_D(func.f90:4897),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,3,0,20,
GLOBAL_CONSTANTS,RADIATION_ITERATIONS,cons.f90,509,runtime_scalar,,FDS[MAIN_LOOP](main.f90:1022); RADIATION_FVM(radi.f90:3865),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",INTEGER,,0,0,2,
GLOBAL_CONSTANTS,RAD_DIFF_SCHEME,cons.f90,511,runtime_scalar,READ_RADI(read.f90:10267),INITIALIZE_DIAGNOSTIC_FILE(dump.f90:3808); RADIATION_FVM(radi.f90:3825),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",INTEGER,,1,0,2,
GLOBAL_CONSTANTS,RANDOMIZE_RADIATION_DIRECTIONS,cons.f90,503,runtime_scalar,,INIT_RADIATION(radi.f90:2862),no,"no write found (initialised in declaration, via namelist/READ of a different name, or by intrinsic/MPI with unresolved intent)",LOGICAL,,0,0,1,
GLOBAL_CONSTANTS,REACTING_THIN_OBSTRUCTIONS,cons.f90,280,runtime_scalar,READ_OBST(read.f90:11354),INITIALIZE_MESH_VARIABLES_1(init.f90:669),no,"written only outside the time loop (setup/IO); read-only while stepping -> needs a device/const mirror, not a blocker for PURE",LOGICAL,,1,0,2,
